user_id,destination,category,rating
U0525,Leh Ladakh,Adventure,3
U0184,Goa Beaches,Beach,5
U0897,Taj Mahal,Historical,2
U0470,Leh Ladakh,Adventure,1
U0989,Kerala Backwaters,Nature,4
U0266,Kerala Backwaters,Nature,3
U0399,Jaipur City,City,2
U0869,Taj Mahal,Historical,4
U0580,Leh Ladakh,Adventure,1
U0876,Goa Beaches,Beach,4
U0522,Goa Beaches,Beach,2
U0989,Kerala Backwaters,Nature,4
U0469,Leh Ladakh,Adventure,3
U0046,Goa Beaches,Beach,1
U0098,Goa Beaches,Beach,5
U0045,Leh Ladakh,Adventure,4
U0424,Jaipur City,City,2
U0352,Kerala Backwaters,Nature,5
U0330,Jaipur City,City,3
U0076,Leh Ladakh,Adventure,2
U0501,Leh Ladakh,Adventure,1
U0609,Jaipur City,City,1
U0276,Taj Mahal,Historical,4
U0752,Leh Ladakh,Adventure,3
U0081,Leh Ladakh,Adventure,3
U0290,Kerala Backwaters,Nature,2
U0422,Taj Mahal,Historical,2
U0129,Taj Mahal,Historical,3
U0324,Jaipur City,City,5
U0421,Leh Ladakh,Adventure,3
U0002,Leh Ladakh,Adventure,5
U0476,Kerala Backwaters,Nature,1
U0260,Jaipur City,City,2
U0878,Goa Beaches,Beach,1
U0951,Kerala Backwaters,Nature,4
U0688,Taj Mahal,Historical,5
U0902,Taj Mahal,Historical,4
U0533,Kerala Backwaters,Nature,3
U0234,Kerala Backwaters,Nature,2
U0009,Kerala Backwaters,Nature,2
U0781,Kerala Backwaters,Nature,3
U0739,Kerala Backwaters,Nature,3
U0649,Taj Mahal,Historical,2
U0463,Leh Ladakh,Adventure,5
U0631,Kerala Backwaters,Nature,2
U0708,Goa Beaches,Beach,4
U0891,Taj Mahal,Historical,3
U0488,Goa Beaches,Beach,2
U0554,Jaipur City,City,1
U0957,Kerala Backwaters,Nature,1
U0296,Jaipur City,City,5
U0295,Taj Mahal,Historical,1
U0234,Goa Beaches,Beach,2
U0306,Jaipur City,City,3
U0018,Jaipur City,City,1
U0297,Kerala Backwaters,Nature,2
U0882,Kerala Backwaters,Nature,1
U0809,Taj Mahal,Historical,1
U0591,Jaipur City,City,1
U0065,Kerala Backwaters,Nature,3
U0290,Goa Beaches,Beach,1
U0217,Jaipur City,City,2
U0977,Leh Ladakh,Adventure,3
U0859,Leh Ladakh,Adventure,3
U0029,Leh Ladakh,Adventure,3
U0747,Leh Ladakh,Adventure,4
U0061,Kerala Backwaters,Nature,5
U0906,Leh Ladakh,Adventure,4
U0442,Jaipur City,City,3
U0450,Kerala Backwaters,Nature,5
U0018,Goa Beaches,Beach,1
U0446,Leh Ladakh,Adventure,3
U0222,Jaipur City,City,4
U0852,Kerala Backwaters,Nature,5
U0328,Jaipur City,City,4
U0537,Kerala Backwaters,Nature,5
U0431,Taj Mahal,Historical,4
U0423,Kerala Backwaters,Nature,4
U0327,Leh Ladakh,Adventure,3
U0628,Taj Mahal,Historical,5
U0834,Leh Ladakh,Adventure,2
U0303,Kerala Backwaters,Nature,1
U0636,Kerala Backwaters,Nature,5
U0069,Goa Beaches,Beach,2
U0107,Leh Ladakh,Adventure,5
U0866,Kerala Backwaters,Nature,2
U0060,Leh Ladakh,Adventure,4
U0461,Kerala Backwaters,Nature,1
U0594,Leh Ladakh,Adventure,3
U0344,Leh Ladakh,Adventure,4
U0331,Jaipur City,City,2
U0855,Taj Mahal,Historical,5
U0044,Leh Ladakh,Adventure,2
U0291,Leh Ladakh,Adventure,1
U0034,Taj Mahal,Historical,5
U0077,Jaipur City,City,5
U0976,Taj Mahal,Historical,5
U0556,Goa Beaches,Beach,2
U0671,Kerala Backwaters,Nature,2
U0088,Kerala Backwaters,Nature,1
U0934,Taj Mahal,Historical,2
U0653,Jaipur City,City,5
U0676,Kerala Backwaters,Nature,5
U0411,Leh Ladakh,Adventure,1
U0323,Goa Beaches,Beach,2
